candidate_id,rank,score,reasoning
CAND_0002025,1,0.713351,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior AI Engineer at Apple with balanced must-have scores M1:0.80, M2:0.81, M3:0.83, M4:0.68."
CAND_0043860,2,0.678342,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Junior ML Engineer at Aganitha with balanced must-have scores M1:0.70, M2:0.75, M3:0.76, M4:0.75."
CAND_0046132,3,0.660063,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at Verloop.io with balanced must-have scores M1:0.71, M2:0.76, M3:0.76, M4:0.71."
CAND_0054394,4,0.641302,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Recommendation Systems Engineer at PharmEasy with balanced must-have scores M1:0.89, M2:0.86, M3:0.79, M4:0.63."
CAND_0081846,5,0.637755,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Lead AI Engineer at Razorpay with balanced must-have scores M1:0.83, M2:0.82, M3:0.84, M4:0.70."
CAND_0045887,6,0.635443,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Data Scientist at PharmEasy with balanced must-have scores M1:0.68, M2:0.70, M3:0.66, M4:0.73."
CAND_0033445,7,0.634697,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from ML Engineer at Vedantu with balanced must-have scores M1:0.68, M2:0.72, M3:0.64, M4:0.77."
CAND_0018499,8,0.629854,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Machine Learning Engineer at Zomato with balanced must-have scores M1:0.80, M2:0.80, M3:0.82, M4:0.72."
CAND_0011687,9,0.625064,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior NLP Engineer at Niramai with balanced must-have scores M1:0.76, M2:0.77, M3:0.85, M4:0.69."
CAND_0049540,10,0.615784,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from ML Engineer at Saarthi.ai with balanced must-have scores M1:0.68, M2:0.72, M3:0.65, M4:0.77."
CAND_0007962,11,0.605262,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Data Engineer at Zoho with balanced must-have scores M1:0.69, M2:0.78, M3:0.73, M4:0.79."
CAND_0008295,12,0.604192,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at Razorpay with balanced must-have scores M1:0.71, M2:0.76, M3:0.65, M4:0.73."
CAND_0046064,13,0.601124,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior NLP Engineer at Salesforce with balanced must-have scores M1:0.75, M2:0.75, M3:0.76, M4:0.68."
CAND_0038716,14,0.599327,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Data Engineer at Meesho with balanced must-have scores M1:0.68, M2:0.78, M3:0.72, M4:0.79."
CAND_0068811,15,0.59687,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Applied ML Engineer at Freshworks with balanced must-have scores M1:0.79, M2:0.77, M3:0.81, M4:0.72."
CAND_0084110,16,0.596485,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer at Hooli with balanced must-have scores M1:0.67, M2:0.74, M3:0.70, M4:0.79."
CAND_0033179,17,0.596133,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at Wipro with balanced must-have scores M1:0.71, M2:0.76, M3:0.76, M4:0.71."
CAND_0077337,18,0.595965,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Staff Machine Learning Engineer at Paytm with balanced must-have scores M1:0.78, M2:0.79, M3:0.81, M4:0.71."
CAND_0046525,19,0.595761,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Machine Learning Engineer at Genpact AI with balanced must-have scores M1:0.80, M2:0.77, M3:0.77, M4:0.71."
CAND_0068410,20,0.595555,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer (ML) at Unacademy with balanced must-have scores M1:0.69, M2:0.72, M3:0.67, M4:0.80."
CAND_0051004,21,0.592468,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Data Scientist at CRED with balanced must-have scores M1:0.78, M2:0.78, M3:0.77, M4:0.70."
CAND_0053605,22,0.591212,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer (ML) at Verloop.io with balanced must-have scores M1:0.68, M2:0.71, M3:0.73, M4:0.77."
CAND_0064535,23,0.588785,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Backend Engineer at Pied Piper with balanced must-have scores M1:0.65, M2:0.75, M3:0.69, M4:0.79."
CAND_0069497,24,0.587449,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Project Manager at Wayne Enterprises with balanced must-have scores M1:0.64, M2:0.67, M3:0.62, M4:0.71."
CAND_0097644,25,0.58503,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer at Mphasis with balanced must-have scores M1:0.68, M2:0.77, M3:0.73, M4:0.80."
CAND_0059422,26,0.580589,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Data Engineer at Globex Inc with balanced must-have scores M1:0.69, M2:0.78, M3:0.73, M4:0.79."
CAND_0064256,27,0.580269,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Junior ML Engineer at BYJU'S with balanced must-have scores M1:0.70, M2:0.73, M3:0.67, M4:0.78."
CAND_0042506,28,0.579564,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Search Engineer at Verloop.io with balanced must-have scores M1:0.80, M2:0.80, M3:0.76, M4:0.68. Concern: availability friction."
CAND_0017171,29,0.579547,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Analytics Engineer at Meesho with balanced must-have scores M1:0.65, M2:0.75, M3:0.69, M4:0.77."
CAND_0064116,30,0.579136,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer at Flipkart with balanced must-have scores M1:0.67, M2:0.74, M3:0.70, M4:0.78."
CAND_0009901,31,0.578731,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Software Engineer at Tech Mahindra with balanced must-have scores M1:0.61, M2:0.76, M3:0.63, M4:0.75."
CAND_0060715,32,0.575586,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from ML Engineer at Genpact AI with balanced must-have scores M1:0.69, M2:0.73, M3:0.74, M4:0.75."
CAND_0054318,33,0.575545,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at BYJU'S with balanced must-have scores M1:0.62, M2:0.69, M3:0.60, M4:0.76."
CAND_0043381,34,0.574846,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at PharmEasy with balanced must-have scores M1:0.71, M2:0.76, M3:0.77, M4:0.71."
CAND_0018549,35,0.57267,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Recommendation Systems Engineer at Uber with balanced must-have scores M1:0.77, M2:0.76, M3:0.78, M4:0.66."
CAND_0039522,36,0.572598,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Data Engineer at Ola with balanced must-have scores M1:0.69, M2:0.78, M3:0.73, M4:0.80."
CAND_0076163,37,0.571442,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from NLP Engineer at Ola with balanced must-have scores M1:0.79, M2:0.75, M3:0.76, M4:0.66."
CAND_0095528,38,0.571055,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Data Scientist at Netflix with balanced must-have scores M1:0.80, M2:0.77, M3:0.83, M4:0.67. Concern: availability friction."
CAND_0092706,39,0.566972,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at Unacademy with balanced must-have scores M1:0.71, M2:0.75, M3:0.75, M4:0.71."
CAND_0024878,40,0.566254,"Evidence of vector DB / hybrid search, hands-on production coding from AI Specialist at HCL with balanced must-have scores M1:0.60, M2:0.67, M3:0.59, M4:0.76."
CAND_0004402,41,0.566068,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Research Engineer at Yellow.ai with balanced must-have scores M1:0.71, M2:0.76, M3:0.76, M4:0.71."
CAND_0091832,42,0.565948,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Data Engineer at Unacademy with balanced must-have scores M1:0.69, M2:0.79, M3:0.74, M4:0.80. Concern: availability friction."
CAND_0097079,43,0.565657,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Computer Vision Engineer at Freshworks with balanced must-have scores M1:0.68, M2:0.71, M3:0.64, M4:0.72."
CAND_0098454,44,0.565628,"Evidence of retrieval/search systems, vector DB / hybrid search, hands-on production coding from AI Specialist at Meesho with balanced must-have scores M1:0.60, M2:0.67, M3:0.59, M4:0.77."
CAND_0034177,45,0.563202,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer (ML) at Mad Street Den with balanced must-have scores M1:0.68, M2:0.71, M3:0.74, M4:0.77."
CAND_0077498,46,0.562853,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Senior Software Engineer (ML) at Niramai with balanced must-have scores M1:0.69, M2:0.73, M3:0.64, M4:0.79."
CAND_0030031,47,0.562846,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from AI Engineer at Microsoft with balanced must-have scores M1:0.79, M2:0.77, M3:0.79, M4:0.67. Concern: availability friction."
CAND_0015522,48,0.562569,"Evidence of retrieval/search systems, vector DB / hybrid search, ranking evaluation frameworks, hands-on production coding from Backend Engineer at PhonePe with balanced must-have scores M1:0.65, M2:0.74, M3:0.66, M4:0.74."
